what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963473969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963474237
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963493219
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329963496458
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329963496618
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329963507748
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329963507928
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963543658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963544023
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963544295
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963552192
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329963553401
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329963553571
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329963553611
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329963553971
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329963554121
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963565231
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963565535
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963565792
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963566033
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963566180
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963566340
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963566481
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963576111
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329963608598
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329963608758
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329963612688
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329963612878
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329963614628
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329963614798
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329963626298
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329963632208
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329963634408
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329963642438
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329963663968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963665988
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963666246
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963666514
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963713053
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329963722029
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329963722179
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329963735489
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963736149
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963736394
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963736500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963736766
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963736894
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963748063
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963749240
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963749598
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963749902
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963758440
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963758867
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1329963758877
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963763277
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963764337
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963767057
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963768017
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963771127
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329963771627
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963772787
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963773074
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963773183
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963773974
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963774096
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963792951
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963793917
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963794121
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963794404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963794608
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963794726
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963795135
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963795226
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963850529
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963851553
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963866757
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963867797
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963868887
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329963869207
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1329963869367
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1329963869367
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1329963869367
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1329963869367
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1329963869367
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1329963869367
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1329963869367
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1329963869367
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1329963869367
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1329963869367
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1329963869367
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1329963869367
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1329963869367
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1329963869377
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1329963869377
stopped,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1329963869377
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1329963869377
stopped,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1329963869377
stopped,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1329963869377
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1329963869377
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1329963869377
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1329963869377
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1329963869377
stopped,bundle,org.eclipse.egit.mylyn.ui,1.1.0.201109151100-r,"org.eclipse.egit.mylyn.ui",1329963869377
stopped,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1329963869377
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1329963869477
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1329963869477
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1329963869477
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1329963869477
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1329963869527
